CustomerID,CustomerFirstName,CustomerLastName,EmailID,PhoneNumber,Address,CheckInDate,CheckOutDate,NoofGuests,TotalBookingPrice,BookingStatus,BookingDate,OwnerID,OwnerEmailID,TotalNoofPropertiesOwned,OwnerFirstName,OwnerLastName,OwnerPhoneNumber,PropertyAddress,PricePerNight,City,State,Country,PropertyType,NoofDaysStaying,PropertyID,PropertyRating,Neighbourhood
173202,Kimberly,Salinas,walkerjulie@yahoo.com,18425141201,"32323 Walsh Stravenue Apt. 152, Lozanoview, CO 46258",07-29-2024,11-09-2024,9,19055,Canceled,04-07-2024,557251,qfletcher@yahoo.com,8,Robin,Kidd,18743584446,341 Donna Ways,185,New York City,Florida,United States,Studio,103,164926,4,South Beach
904424,Henry,Johnson,bbrown@yahoo.com,13882474032,"1842 Cook Greens, Cindyside, IL 95710",09-16-2024,12-17-2024,7,38732,Confirmed,04-09-2024,557252,ascott@davidson.com,6,Victoria,Holland,19704644728,919 Heather Mountains Suite 014,421,Miami,Texas,United States,Studio,92,907697,4,Downtown Austin
958807,Bryan,Johnson,jeremygiles@wilkins.com,16774399046,"97359 Michelle Groves Apt. 669, Henryside, VA 69319",02-25-2024,10-25-2024,10,14337,Confirmed,12-11-2023,557253,ejones@yahoo.com,9,Angela,Nelson,15123387967,43997 Golden Prairie Suite 714,59,Miami,Florida,United States,Cottage,243,960650,5,South Beach
396540,Jeremy,Morris,josephtaylor@richardson.com,18493120804,"916 Jennifer Junctions, South James, CT 15643",05-10-2024,12-04-2024,6,84448,Pending,04-11-2024,557254,esexton@gmail.com,10,Patricia,Peterson,12999941307,10963 Thomas Greens,406,Los Angeles,Illinois,United States,House,208,407671,4,Lincoln Park
711004,Melissa,Schneider,cynthiaadams@yahoo.com,19329764657,"1978 Lisa Station Apt. 905, East Codyberg, HI 75508",04-14-2024,08-11-2024,6,42364,Pending,03-24-2024,557255,frank76@yahoo.com,9,Andrew,Hebert,15203069037,200 Michael Prairie Suite 281,356,Miami,Florida,United States,Studio,119,794747,4,South Beach
373514,Joseph,Gray,joshua86@hill.com,13304855657,"318 Brooke Ford, Gibsonland, PA 83894",05-28-2024,09-22-2024,5,9945,Pending,01-08-2024,557256,teresa87@raymond-morris.org,1,Holly,Joseph,14115178375,04740 Anita Forks Apt. 470,85,Chicago,Illinois,United States,House,117,911991,1,Lincoln Park
671675,Elizabeth,Briggs,betty33@ferrell-campbell.com,13743418711,"1313 Keith Ferry Suite 018, Christineborough, MA 17727",06-20-2024,09-16-2024,2,9416,Confirmed,03-01-2024,557257,joshua62@gregory-waters.com,6,Sara,Johnson,16394761221,139 Sanchez Glens Apt. 874,107,Miami,Illinois,United States,Apartment,88,338664,3,Lincoln Park
458728,David,Morgan,jack44@mann-morton.biz,16768901194,"63168 Eric Ways Apt. 466, Boydstad, IL 91993",01-08-2024,03-18-2024,10,34510,Canceled,12-21-2023,557258,hwu@yahoo.com,7,John,Choi,11499227284,786 Smith Circle Apt. 294,493,Chicago,Illinois,United States,Villa,70,151792,3,Lincoln Park
624226,Kayla,Leon,pflores@yahoo.com,16311745154,"0199 Laurie Mount Suite 309, North Kenneth, IA 98883",09-25-2024,12-02-2024,7,18292,Pending,02-10-2024,557259,wilsonjackie@heath-brown.biz,7,Chad,Russell,11694851463,428 Richard Green,269,Los Angeles,Florida,United States,Cottage,68,497431,4,South Beach
905380,Haley,Baker,xclarke@hotmail.com,12979097690,"674 Welch Land, Christopherview, PA 79207",12-31-2023,12-23-2024,2,165396,Confirmed,12-05-2023,557260,dawnwhite@gonzales.net,7,Jennifer,Atkins,18535912889,35235 Jeffrey Squares,462,Miami,New York,United States,House,358,978755,3,Manhattan
